"Tempratuur afgerond op hele normale aantallen KNMI";"Tempratuur in de Kas";"outside Luchtvochtigheid - % - 1 uur";"Plant Straling Par";"prediction(Tempratuur in de Kas)"
20.9;18.3;78;5;20.472182638519865
20.8;18.1;79;5;20.399001684898746
19.0;18.0;80;5;19.98928014061524
18.6;17.7;79;5;19.96347856757095
17.4;18.1;84;5;19.458998262133786
15.2;20.5;86;16;19.02821399844111
15.2;21.2;86;108;19.96082427293477
15.0;23.6;81;468;23.83749805607527
16.7;24.9;73;631;26.25345634980789
17.2;25.8;69;758;27.853384331154736
16.7;25.1;66;641;26.72851816983433
17.2;26.1;68;501;25.301542251781147
16.8;26.2;68;125;21.410818586866053
17.0;25.8;72;81;20.790842803535273
17.0;24.1;77;17;19.875148197229933
17.2;23.2;84;6;19.42954231966864
16.9;22.2;89;6;19.103230562229207
16.2;19.6;94;5;18.687595715256432
15.9;18.7;95;5;18.57482175096915
15.9;19.1;92;5;18.734975095833263
15.5;18.6;92;5;18.655789074500937
15.2;18.6;94;5;18.489630661925617
15.8;18.3;95;5;18.555025245636067
17.1;20.4;97;12;18.77657039579718
15.0;22.2;97;107;19.323865262899176
17.0;25.3;91;546;24.490274999535934
16.9;26.2;86;470;23.966983552365672
16.2;27.5;75;152;21.192049258278782
16.6;27.3;77;67;20.302815585948505
17.2;23.9;92;6;19.002466733364344
17.0;22.5;95;6;18.802720377834067
16.8;20.4;98;5;18.592836954102776
16.7;20.3;98;5;18.573040448769692
16.6;19.9;87;5;19.140472874605017
16.0;19.9;79;5;19.448769428910825
15.9;20.1;78;5;19.482357371865785
15.9;20.5;78;6;19.492494440066803
16.1;19.2;91;5;18.827952554787462
16.8;20.3;88;9;19.167229709787218
17.3;21.1;97;64;19.343290952916277
18.1;21.9;96;54;19.45367676185879
17.4;23.4;94;85;19.736119235334854
17.9;23.7;92;240;21.513116229734123
17.1;23.8;90;79;19.82944510328165
16.6;24.3;72;801;28.010345886935905
16.3;26.7;67;461;24.771275424030726
15.7;25.2;68;63;20.56455879973904
15.6;21.1;61;6;20.340640544964188
16.0;19.0;59;5;20.51645839467157
15.3;18.3;62;5;20.21772951247589
15.0;17.9;64;5;20.05157109990057
14.6;17.8;67;5;19.81223173370413
14.6;17.5;69;5;19.705462837128056
15.2;17.2;70;5;19.77085742083851
14.7;17.4;71;5;19.61849044588506
15.4;17.1;73;5;19.65029708664056
16.5;17.4;76;5;19.70790530044035
17.5;20.9;77;91;20.724273770770672
19.0;23.7;73;283;23.181076238514503
19.0;23.8;73;213;22.471481464443244
18.1;24.3;75;206;22.115584542462305
18.0;24.6;68;411;24.547578156354177
17.5;25.0;67;242;22.788815552004763
17.2;23.7;66;9;20.420873593456363
17.2;21.3;71;6;20.123540147413124
18.2;18.4;63;5;20.73844371884722
18.0;18.1;64;5;20.64546625989302
17.8;17.6;69;5;20.33895100778667
17.7;17.2;70;5;20.26577005416555
17.6;17.0;72;5;20.139204652256396
18.6;17.2;76;5;20.123631912435062
18.8;20.1;76;9;20.203773195905296
19.5;23.0;78;147;21.63449524840128
19.6;23.3;78;155;21.735388299342503
19.2;25.9;70;779;28.408808421749708
18.5;24.8;70;524;25.685280493158544
18.2;26.4;73;107;21.238580192470682
18.5;23.8;79;7;19.963956198639902
19.1;23.6;80;6;20.01921371414934
18.5;18.2;84;5;19.67675982079768
18.5;17.4;83;5;19.730144269085717
18.0;17.1;90;5;19.257470604404052
16.2;18.5;89;5;18.954517956696616
16.0;18.7;89;5;18.914924946030453
15.7;19.5;89;5;18.85553543003121
16.5;20.6;91;10;18.957823917124877
17.0;21.2;91;110;20.07051326389209
18.2;23.1;89;237;21.702247885994424
19.0;23.8;88;375;23.3129197886876
20.9;24.5;86;731;27.404618566154635
20.0;24.5;83;667;26.737830998155857
17.7;24.2;82;122;20.81119365422821
16.7;24.2;83;84;20.17463556097067
16.2;24.0;85;6;19.178192818049784
17.0;21.2;88;6;19.17641151585033
19.2;18.0;89;5;19.548413116689066
18.5;18.4;88;5;19.463222027645532
18.5;18.6;88;5;19.463222027645532
18.2;19.6;90;5;19.297063615070215
18.3;19.6;89;5;19.37024456869133
19.0;20.3;90;6;19.465572725935886
19.2;21.1;91;6;19.45178128831401
19.3;21.3;92;77;20.137925187631335
19.7;22.4;89;152;21.13754466890412
19.6;25.2;81;778;27.890628443712604
18.6;25.0;81;416;24.023044701613273
18.1;26.0;84;415;23.753771761882735
17.7;24.7;87;165;20.980165345431796
16.9;23.9;89;52;19.569535699476035
17.1;24.8;91;6;19.036054676319296
16.3;23.2;90;6;18.931067081942683
15.9;21.5;89;6;18.905265508898392
15.5;20.5;89;6;18.826079487566066
15.4;20.2;89;5;18.796145914031964
15.5;20.1;88;5;18.869326867653086
15.1;19.6;89;5;18.73675639803272
